"index","brand","model","year","price","condition","color","transmission","km","fuel_type","posted_on","last_updated","location","description","url"
"0","Mitsubishi","Global News","1998.0","250,000 EGP","Used","Blue","Manual","999,999 KM","Gas","2026-01-28","2026-01-28","Suez","The car is completely factory-made inside and fully armored from the outside","https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Crystala/7164618"
"1","Mitsubishi","Global News","2021.0","1,400,000 EGP","Remote Keyless","Silver","Automatic","152,000 KM","Gas","2026-01-28","2026-01-28","10th of Ramadan","?????????? ?????????????????? ???????????? ???????? ?????????? 2021 ?????????? ?????????????? ????????. ???????? ?????????? 152000 ?????????????? ?????????? ?????????? ???????? ???????????????????? ??????????????????????. ?????????? ?????????????? ?????? ???????????????? ???? ?????????? ?????????? ???????? ??????????. ???? ?????????????? ???????????????? ???????? ???????????????? ???????????? ?????????? ?????????? ???????? ?????? ???????????? ?????? ???????????? ???????????? ?????????????? ?????????? ???????????????? ???????????? ?????????????? ???????????? ???????????? ???????? ?????????? ?????????? ???????? ???????????? ???? ?????????? ?????????? ????????????. ???????? ?????????????? ???????????????? ?????????? ABS?? ?????????? ?????????????? ?????????? ???????????????? ?????????? ?????????? ?????????? ?????????? ?????????????? ???????????? ???????????? ?????????????? ???????? ???????? ???????? ?????? ??????????. ?????? ???????? ?????????????? ?????????????? ?????????? ?????? ?????????????? USB?? AUX ????????. ???????? ?????????????? ?????????? ???????????? ?????????????? ?????? ???????????????? ???????????? ?????????????? ?????????? ?????????? ?????????? ?????????????????? ?????????? ????????????????",
"???????????????? ???????? ?????? ?????????????? ?????????? ?????????????? ?????????? ?????????????????? ??????????????. ?????????????? ???????? ?????????? ???? ?????????????? ?????????????? ?????????? ???????? ?????????? ???????????????? ???????????? ?????????????? ?????????????? ?????????????? ?????????? ?????????? ?????? ???????? ?????????????? ???? ???????? ?????? ???? ???????????? ???????????????? ???????????? ?????? ????????",,,,,,,,,,,,,,
"???????????????? ???? ?????????? ???????????? ???? ?????????? ???????????? ?????? ???????????? 5 ?????????? ???????? ???????????? ???????????? ???????? ???? ???? ?????? ???????????????? ????????????.""","https://eg.hatla2ee.com/en/car/mitsubishi/Eclipse-Cross/7164609",,,,,,,,,,,,,
"2","Mitsubishi","Global News","2007.0","410,000 EGP","Used","Black","Automatic","375,000 KM","Gas","2026-01-28","2026-01-28","Obour City","?????????? ???????? ???????? ???????? ???????? ?????? ???????? ???????????? ?????????? ?????????????? ?????? ?????? ?????????????? ?????????????? ?????????? ???????????? ?????????? ???????????? ???????? ?????????? ?????? ????????????????","https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Puma/7164457"
